code,code_level,food_category,food_group,major_food_code,minor_food_code,units,rse_indicator_,percentage_change_since_2021_22,percentage_change_since_2019_20,significance,trend_since_2019_20_,reliability_of_3_year_percent_relative_se,year,quantity
cat851,3,Brown and wholemeal bread,,,,g,Low,-10.48162702,-20.10333607,yes,DOWN,2.081376283,1974,81.43642419
259,4,,,"Brown bread, sliced and unsliced",,g,Medium,-2.041236882,-10.19505239,,,4.909904058,1974,64.70833501
260,4,,,"Wholemeal and granary bread, sliced and unsliced",,g,Low,-12.60996244,-22.51962464,yes,DOWN,2.330366302,1974,16.72808918
263,3,,,Total other bread,,g,Low,2.706601632,-9.398308456,yes,DOWN,1.396648285,1974,76.9980244
26302,4,,,,"Rolls - white, brown or wholemeal",g,Low,9.746743641,-9.077097497,,,2.463711626,1974,52.35865659
26303,4,,,,Malt bread and fruit loaves,g,High,-3.423045477,-25.19144895,yes,DOWN,5.988558191,1974,4.619881464
26304,4,,,,Vienna and french bread,g,Medium,-3.471562381,-22.87219588,yes,DOWN,3.59609888,1974,6.159841952
26305,4,,,,Starch reduced bread and rolls,g,High,61.14153612,33.87300228,,,11.06316683,1974,2.309940732
26308,4,,,,Other breads,g,Low,-0.858347184,-5.203537948,,DOWN,2.008080364,1974,7.69980244
26309,4,,,,Sandwiches,g,Medium,-2.163567741,-5.934976585,,,3.896096051,1974,3.079920976
26310,4,,,,Sandwiches from takeaway,g,High,27.5845212,-20.2494515,,,8.393453452,1974,0.769980244
26311,4,,,,Takeaway breads,g,High,22.14732593,-19.95137474,,,7.517179214,1974,
264264,2,,Flour,,,g,High,-15.07781577,-10.6529959,,,5.438671134,1974,161.7878377
267270,2,,"Cakes, buns and pastries",,,g,Low,-2.394376247,-1.144672155,,,1.639225568,1974,184.1955738
267,3,,,"Buns, scones and teacakes",,g,Low,-1.118949594,1.292469425,,,2.092430799,1974,30.40625987
270,3,,,Cakes and pastries,,g,Low,-3.096155138,-2.462300698,,,2.098911784,1974,153.7893139
